split,example_type,pair_id,label,title_similarity,left_id,right_id,left_title,right_title,left_brand,right_brand,left_price,right_price,left_description,right_description,pair_text
train,positive,9999780#18252855,1,100.0,9999780,18252855,SanDisk Extreme PRO CZ880 128GB 256GB 420MB/s USB 3.1 Solid State Flash Drive (128GB),SanDisk Extreme PRO USB 3.1 Solid State Flash Drive 128GB,Sandisk,SanDisk,288.0,52.39,"Solid state performance in a USB 3.1 flash drive1Read speeds of up to 420MB/s; write speeds of up to 380MB/s1Sophisticated design with durable aluminium metal casingPassword protection and 128-bit AES file encryption software4RescuePRO® Deluxe data recovery download5Technical DetailsCapacities: 128GB, 256GB*Read speed: 420MB/sWrite speed: 380MB/sCompatibility: USB 3.1, Gen 1 (backward compatible with USB 3.0 and USB 2.0)Dimensions: 11.0 x 21.0 x 71.0 mm; 0.45 x 0.84 x 2.79 inWeight: 17g; 0.6 oz.Operational temperature: 32° - 95° F (0° - 35 °C)Storage temperature: 14° - 158° F (-10 °C - 70 °C)Warranty: Lifetime warranty6TRUST IN SANDISK®All SanDisk products are constructed to the highest standards and rigorously tested, so you can be confident in the outstanding quality, performance and reliability of every SanDisk product.LEGAL DISCLAIMER* 1GB=1,000,000,000 bytes. Actual user storage less.1.Read speeds up to 420MB/s, write speeds up to 380MB/s. USB 3.1Gen 1 or USB 3.0 port required. Based on internal testing; performance may belower depending upon host device. 1MB=1,000,000 bytes.2.Based on 4K video transfer (4GB) with USB 3.1, Gen 1 or USB 3.0host device. Results may vary based on host device, file attributes and otherfactors.3. Based on 4GB transfer of 1000 photos (avg. file 4MB) with USB3.1, Gen 1 or USB 3.0 host device. Results may vary based on host device, fileattributes and other factors.4.Password protection uses 128-bit AES encryption and is supportedby Windows Vista®, Windows 7, Windows 8, Windows 10 and Mac OS X v10.7+(Software download required for Mac)5. Registration required; terms and conditions apply.6.30 years in Germany, Canada and regions not recognizing lifetime warranty.",The SanDisk Extreme PRO USB 3.1 Solid State Flash Drive - 128GB has a super-fast solid state performance in a USB 3.1 flash drive.,"[LEFT] [TITLE] SanDisk Extreme PRO CZ880 128GB 256GB 420MB/s USB 3.1 Solid State Flash Drive (128GB) [BRAND] Sandisk [DESCRIPTION] Solid state performance in a USB 3.1 flash drive1Read speeds of up to 420MB/s; write speeds of up to 380MB/s1Sophisticated design with durable aluminium metal casingPassword protection and 128-bit AES file encryption software4RescuePRO® Deluxe data recovery download5Technical DetailsCapacities: 128GB, 256GB*Read speed: 420MB/sWrite speed: 380MB/sCompatibility: USB 3.1, Gen 1 (backward compatible with USB 3.0 and USB 2.0)Dimensions: 11.0 x 21.0 x 71.0 mm; 0.45 x 0.84 x 2.79 inWeight: 17g; 0.6 oz.Operational temperature: 32° - 95° F (0° - 35 °C)Storage temperature: 14° - 158° F (-10 °C - 70 °C)Warranty: Lifetime warranty6TRUST IN SANDISK®All SanDisk products are constructed to the highest standards and rigorously tested, so you can be confident in the outstanding quality, performance and reliability of every SanDisk product.LEGAL DISCLAIMER* 1GB=1,000,000,000 bytes. Actual user storage less.1.Read speeds up to 420MB/s, write speeds up to 380MB/s. USB 3.1Gen 1 or USB 3.0 port required. Based on internal testing; performance may belower depending upon host device. 1MB=1,000,000 bytes.2.Based on 4K video transfer (4GB) with USB 3.1, Gen 1 or USB 3.0host device. Results may vary based on host device, file attributes and otherfactors.3. Based on 4GB transfer of 1000 photos (avg. file 4MB) with USB3.1, Gen 1 or USB 3.0 host device. Results may vary based on host device, fileattributes and other factors.4.Password protection uses 128-bit AES encryption and is supportedby Windows Vista®, Windows 7, Windows 8, Windows 10 and Mac OS X v10.7+(Software download required for Mac)5. Registration required; terms and conditions apply.6.30 years in Germany, Canada and regions not recognizing lifetime warranty. [PRICE] 288.0 [PRICE_CURRENCY] MYR
[RIGHT] [TITLE] SanDisk Extreme PRO USB 3.1 Solid State Flash Drive 128GB [BRAND] SanDisk [DESCRIPTION] The SanDisk Extreme PRO USB 3.1 Solid State Flash Drive - 128GB has a super-fast solid state performance in a USB 3.1 flash drive. [PRICE] 52.39 [PRICE_CURRENCY] GBP"
train,positive,48734603#61830419,1,100.0,48734603,61830419,MultiPlus Inverter/Charger C 12/2000/80-30,MultiPlus C 12/2000/80-30,EC Offroad,,"1,699.99",1720.26,"MultifunctionalThe new style MultiPlus is set to replace the earlier MultiPlus Compact range. It is a powerful true sine wave inverter, a sophisticated battery charger that features adaptive charge technology and a high-speed AC transfer switch in a single compact enclosure.Models:500VA, 800VA, 1200VA, 1600VA",CMP122200000,"[LEFT] [TITLE] MultiPlus Inverter/Charger C 12/2000/80-30 [BRAND] EC Offroad [DESCRIPTION] MultifunctionalThe new style MultiPlus is set to replace the earlier MultiPlus Compact range. It is a powerful true sine wave inverter, a sophisticated battery charger that features adaptive charge technology and a high-speed AC transfer switch in a single compact enclosure.Models:500VA, 800VA, 1200VA, 1600VA [PRICE] 1,699.99 [PRICE_CURRENCY] AUD
[RIGHT] [TITLE] MultiPlus C 12/2000/80-30 [DESCRIPTION] CMP122200000 [PRICE] 1720.26 [PRICE_CURRENCY] AUD"
train,positive,71471222#4223201,1,100.0,71471222,4223201,Fujifilm Instax Mini Instant Film - Rainbow (10 Shots),Fujifilm Instax Mini Film Rainbow,Fujifilm,,159,9.50,Instant Film for Fujifilm Mini Instant Cameras10 Shots per PackISO 800High Gloss FinishSuperb Grain QualityFast Image FormationGreater Resistance to Age-Induced ChangesSingle-plastic Composition for Easier Disposal,"10 sheetsInstant film (no processing required)For use in Instax Mini camerasStriking rainbow borderThese portable Instax film cartridges are great to quickly capture moments and share with your friends. Instax Mini film is for all Instax mini cameras and comes in a handy cartridge. It offers stunning instant pictures that you can fit into a purse, wallet or mini photo frame. Instax film ensures sharp, clear reproduction, vivid colour and natural skin tones.","[LEFT] [TITLE] Fujifilm Instax Mini Instant Film - Rainbow (10 Shots) [BRAND] Fujifilm [DESCRIPTION] Instant Film for Fujifilm Mini Instant Cameras10 Shots per PackISO 800High Gloss FinishSuperb Grain QualityFast Image FormationGreater Resistance to Age-Induced ChangesSingle-plastic Composition for Easier Disposal [PRICE] 159 [PRICE_CURRENCY] ZAR
[RIGHT] [TITLE] Fujifilm Instax Mini Film Rainbow [DESCRIPTION] 10 sheetsInstant film (no processing required)For use in Instax Mini camerasStriking rainbow borderThese portable Instax film cartridges are great to quickly capture moments and share with your friends. Instax Mini film is for all Instax mini cameras and comes in a handy cartridge. It offers stunning instant pictures that you can fit into a purse, wallet or mini photo frame. Instax film ensures sharp, clear reproduction, vivid colour and natural skin tones. [PRICE] 9.50 [PRICE_CURRENCY] GBP"
train,positive,26727944#20702772,1,100.0,26727944,20702772,"SRAM SRAM NX Eagle 12-Speed Trigger Shifter with Discrete Clamp, Black","SRAM NX Eagle 12-Speed Trigger Shifter with Discrete Clamp, Black",SRAM,,42.00,42.00,The NX Eagle trigger shifter means on-demand gear selection throughout the entire wide range Eagle cassette. The massive range means you never have to worry abo,Key Features Color Black 12 Speed Trigger Shifter Style,"[LEFT] [TITLE] SRAM SRAM NX Eagle 12-Speed Trigger Shifter with Discrete Clamp, Black [BRAND] SRAM [DESCRIPTION] The NX Eagle trigger shifter means on-demand gear selection throughout the entire wide range Eagle cassette. The massive range means you never have to worry abo [PRICE] 42.00 [PRICE_CURRENCY] USD
[RIGHT] [TITLE] SRAM NX Eagle 12-Speed Trigger Shifter with Discrete Clamp, Black [DESCRIPTION] Key Features Color Black 12 Speed Trigger Shifter Style [PRICE] 42.00 [PRICE_CURRENCY] USD"
train,positive,81415527#68519995,1,100.0,81415527,68519995,2MP 25X Network IR PTZ Camera,Hikvision 2MP 25X Network IR PTZ Camera (DS-2DE5225IW-AE),,,"Incl. BTW€1.035,76",397,"1/2.8\"" progressive scan CMOSUp to 1920 × 1080@30fps resolutionMin. illumination: Color: 0.005 Lux @(F1.6, AGC ON) B/W: 0.001 Lux @(F1.6, AGC ON) 0 Lux with IR25× optical zoom, 16× digital zoomWDR, HLC, BLC, 3D DNR, Defog, EIS, Regional Exposure, Regional FocusUp to 150 m IR distance24 VAC & Hi-PoESupport H.265+/H.265 video compression","The Hikvision (DS-2DE5225IW-AE) is a 2MP Speed Dome with 25x optical zoom and 1/2.8"" progressive scan CMOS chip. The camera features Smart Autotracking that is designed to automatically control the direction and zoom-level of the PTZ configurations of the camera for optimised camera view. This function may be used to provide automatic, visual confirmation of detected objects reducing the rate of false alarms and can also ensure that any potential intruder remains within the camera’s line of sight.The intuitive interface of the camera allows for quick and easy remote calibration to ensure that the camera’s settings are appropriately configured in view of its operation conditions and environment.The camera is ideally suited to deployment in demanding outdoor environments where pan/tilt/zoom functionality would be an advantage, such as perimeter surveillance and airports, roads, railways, squares, parks, scenic spots, and other open venues. Advanced gatekeeper technology can be configured to move the camera to a pre-set position upon triggering of an alarm event before returning the camera to a default position after a pre-configured interval, a useful feature for applications such as facial identification. As well as this, the camera has day/night functionality, providing a round-the-clock monitoring solution. During daylight hours, the camera provides a HD colour image, switching at night-time or during periods of very poor lighting conditions to an infrared-sensitive black and white image. High Power over Ethernet provides both power and network connectivity through one cable, simplifying installation, reducing costs and time. The powerful optical zoom lens enables the camera to cover in more details expansive areas with the ability to zoom on regions of interest.Key Features: 1/2.8"" progressive scan CMOS Up to 1920 × 1080@30fps resolution Min. illumination: Colour: 0.005 Lux @(F1.6, AGC ON) B/W: 0.001 Lux @(F1.6, AGC ON) 0 Lux with IR 25× optical zoom, 16× digital zoom WDR, HLC, BLC, 3D DNR, Defog, EIS, Regional Exposure, Regional Focus Up to 150 m IR distance 24 VAC & Hi-PoE Support H.265+/H.265 video compression Audio input/output Alarm input/output","[LEFT] [TITLE] 2MP 25X Network IR PTZ Camera [DESCRIPTION] 1/2.8\"" progressive scan CMOSUp to 1920 × 1080@30fps resolutionMin. illumination: Color: 0.005 Lux @(F1.6, AGC ON) B/W: 0.001 Lux @(F1.6, AGC ON) 0 Lux with IR25× optical zoom, 16× digital zoomWDR, HLC, BLC, 3D DNR, Defog, EIS, Regional Exposure, Regional FocusUp to 150 m IR distance24 VAC & Hi-PoESupport H.265+/H.265 video compression [PRICE] Incl. BTW€1.035,76 [PRICE_CURRENCY] EUR
[RIGHT] [TITLE] Hikvision 2MP 25X Network IR PTZ Camera (DS-2DE5225IW-AE) [DESCRIPTION] The Hikvision (DS-2DE5225IW-AE) is a 2MP Speed Dome with 25x optical zoom and 1/2.8"" progressive scan CMOS chip. The camera features Smart Autotracking that is designed to automatically control the direction and zoom-level of the PTZ configurations of the camera for optimised camera view. This function may be used to provide automatic, visual confirmation of detected objects reducing the rate of false alarms and can also ensure that any potential intruder remains within the camera’s line of sight.The intuitive interface of the camera allows for quick and easy remote calibration to ensure that the camera’s settings are appropriately configured in view of its operation conditions and environment.The camera is ideally suited to deployment in demanding outdoor environments where pan/tilt/zoom functionality would be an advantage, such as perimeter surveillance and airports, roads, railways, squares, parks, scenic spots, and other open venues. Advanced gatekeeper technology can be configured to move the camera to a pre-set position upon triggering of an alarm event before returning the camera to a default position after a pre-configured interval, a useful feature for applications such as facial identification. As well as this, the camera has day/night functionality, providing a round-the-clock monitoring solution. During daylight hours, the camera provides a HD colour image, switching at night-time or during periods of very poor lighting conditions to an infrared-sensitive black and white image. High Power over Ethernet provides both power and network connectivity through one cable, simplifying installation, reducing costs and time. The powerful optical zoom lens enables the camera to cover in more details expansive areas with the ability to zoom on regions of interest.Key Features: 1/2.8"" progressive scan CMOS Up to 1920 × 1080@30fps resolution Min. illumination: Colour: 0.005 Lux @(F1.6, AGC ON) B/W: 0.001 Lux @(F1.6, AGC ON) 0 Lux with IR 25× optical zoom, 16× digital zoom WDR, HLC, BLC, 3D DNR, Defog, EIS, Regional Exposure, Regional Focus Up to 150 m IR distance 24 VAC & Hi-PoE Support H.265+/H.265 video compression Audio input/output Alarm input/output [PRICE] 397 [PRICE_CURRENCY] GBP"
train,negative,56487473#79464526,0,8.98876404494382,56487473,79464526,TISSOT T-RACE CHRONOGRAPH T115.417.37.051.00,Jacke New Era nfl new england patriots bomber,,,"2,125.00",1.199E2,"DESCRIPTIONThe Tissot T-Race is a winner on and off the circuit. The bike-racing-inspired design details and dynamic style, with a little dose of flamboyancy colors, gets these models into gear and gives them an equally strong starting position. With the Tissot T-Race, Tissot’s passion for motor sport is accelerating into the fashion fast lane.Case Material316L stainless steel casewith black and rose gold PVD coatingWidth43CrystalScratch-resistant sapphire crystalMovementSwiss quartzWater resistanceWater-resistant up to a pressure of 10 bar (100 m / 330 ft)Function30-minutes and 1/10 of a second counters, central 60-seconds chronograph hand, ADD and SPLIT functionsDial colorBlackStrap detailsSiliconeStrap colorBlackWarranty2 Years of International Warranty",,"[LEFT] [TITLE] TISSOT T-RACE CHRONOGRAPH T115.417.37.051.00 [DESCRIPTION] DESCRIPTIONThe Tissot T-Race is a winner on and off the circuit. The bike-racing-inspired design details and dynamic style, with a little dose of flamboyancy colors, gets these models into gear and gives them an equally strong starting position. With the Tissot T-Race, Tissot’s passion for motor sport is accelerating into the fashion fast lane.Case Material316L stainless steel casewith black and rose gold PVD coatingWidth43CrystalScratch-resistant sapphire crystalMovementSwiss quartzWater resistanceWater-resistant up to a pressure of 10 bar (100 m / 330 ft)Function30-minutes and 1/10 of a second counters, central 60-seconds chronograph hand, ADD and SPLIT functionsDial colorBlackStrap detailsSiliconeStrap colorBlackWarranty2 Years of International Warranty [PRICE] 2,125.00 [PRICE_CURRENCY] MYR
[RIGHT] [TITLE] Jacke New Era nfl new england patriots bomber [PRICE] 1.199E2 [PRICE_CURRENCY] EUR"
train,negative,20014256#26149785,0,10.169491525423723,20014256,26149785,seiko prospex padi special edition automatic divers stainless steel watch,SEIKO PRESAGE AUTOMATIC ZEN GARDEN - SRPD41J1,SEIKO WATCH,,495.0,"1,589.00",SEIKO PROSPEX PADI SPECIAL EDITION AUTOMATIC DIVERS STAINLESS STEEL WATCHMOVEMENT TYPE:MechanicalMOVEMENT CALIBRE:4R36BAND TYPE:Stainless Steel BraceletCLASP TYPE:Z-ClaspDIAL COLOUR:BlueWATER RESISTANCE (Metres):200CASE WIDTH:45mmCASE DEPTH:10mmGLASS TYPE:Sapphire CrystalDATE FUNCTION:Day and DateSTONE TYPE:,"Back in 2010, a Seiko mechanical watch inspired by the glamour of the cocktail bar and designed especially for the Japanese market started to attract attention on the world's watch blogs, forums, and websites. In the months and years that followed, the watch became famous, and it has come to be coveted by Seiko fans all over the world. Today, we offer a series in our all-mechanical Presage collection that is based on this watch. In doing so, we bow delightedly to the wishes of Seiko enthusiasts, and we raise our grateful cocktail glasses to them all.At Baselworld 2019 Seiko introduced the Zen Garden range of Presage models with textured patterned dials that drew their inspiration from traditional Japanese gardens. The simple and serene design cues from traditional gardens are reflected in a series of five new models being added to the Presage line.Two models utilize the 4R57 calibre and come in either a silver dial with the SSA395J1 or a green dial on the SSA397J1. The dials are textured and this contrasts with the date sub-dial and power reserve gauge.The other models are the white & blue dialled SRPD39J1 & SRPD41J1 in a stainless steel case or the white dialed SRPD42J1 that comes in a rose gold colored case. Both models use the 4R35 calibre and have the date window positioned at six o’clock.MOVEMENTCaliber Number4R35Movement TypeAutomatic with manual winding capacityDurationApprox. 41 hoursExteriorCase MaterialStainless steelCrystalDual-curved sapphire crystalClaspDeployment clasp with push button releaseOther DetailsWater ResistanceSplash ResistantCase SizeThickness:11.7㎜Diameter:41.7㎜Length:48.5㎜Other SpecificationsScrew case backSee-through case backOther Features23 jewelsDate displayStop second hand function","[LEFT] [TITLE] seiko prospex padi special edition automatic divers stainless steel watch [BRAND] SEIKO WATCH [DESCRIPTION] SEIKO PROSPEX PADI SPECIAL EDITION AUTOMATIC DIVERS STAINLESS STEEL WATCHMOVEMENT TYPE:MechanicalMOVEMENT CALIBRE:4R36BAND TYPE:Stainless Steel BraceletCLASP TYPE:Z-ClaspDIAL COLOUR:BlueWATER RESISTANCE (Metres):200CASE WIDTH:45mmCASE DEPTH:10mmGLASS TYPE:Sapphire CrystalDATE FUNCTION:Day and DateSTONE TYPE: [PRICE] 495.0 [PRICE_CURRENCY] EUR
[RIGHT] [TITLE] SEIKO PRESAGE AUTOMATIC ZEN GARDEN - SRPD41J1 [DESCRIPTION] Back in 2010, a Seiko mechanical watch inspired by the glamour of the cocktail bar and designed especially for the Japanese market started to attract attention on the world's watch blogs, forums, and websites. In the months and years that followed, the watch became famous, and it has come to be coveted by Seiko fans all over the world. Today, we offer a series in our all-mechanical Presage collection that is based on this watch. In doing so, we bow delightedly to the wishes of Seiko enthusiasts, and we raise our grateful cocktail glasses to them all.At Baselworld 2019 Seiko introduced the Zen Garden range of Presage models with textured patterned dials that drew their inspiration from traditional Japanese gardens. The simple and serene design cues from traditional gardens are reflected in a series of five new models being added to the Presage line.Two models utilize the 4R57 calibre and come in either a silver dial with the SSA395J1 or a green dial on the SSA397J1. The dials are textured and this contrasts with the date sub-dial and power reserve gauge.The other models are the white & blue dialled SRPD39J1 & SRPD41J1 in a stainless steel case or the white dialed SRPD42J1 that comes in a rose gold colored case. Both models use the 4R35 calibre and have the date window positioned at six o’clock.MOVEMENTCaliber Number4R35Movement TypeAutomatic with manual winding capacityDurationApprox. 41 hoursExteriorCase MaterialStainless steelCrystalDual-curved sapphire crystalClaspDeployment clasp with push button releaseOther DetailsWater ResistanceSplash ResistantCase SizeThickness:11.7㎜Diameter:41.7㎜Length:48.5㎜Other SpecificationsScrew case backSee-through case backOther Features23 jewelsDate displayStop second hand function [PRICE] 1,589.00 [PRICE_CURRENCY] MYR"
train,negative,72838471#21742013,0,10.34482758620689,72838471,21742013,Boje Canon PG-545 BK 8ml,TAG HEUER AQUARACER WAY111Z.BA0928,Canon,,2300,1750.0,Ngjyra e zeze Kapaciteti: 8ml Numri faqeve: afersisht 180 faqePerputhshmeria : PIXMA iP2850 PIXMA iP2855 PIXMA MG2450 PIXMA MG2455 PIXMA MG2550 PIXMA MG2550 S PIXMA MG2555 PIXMA MG2555 S PIXMA MG2950 PIXMA MG2950 S PIXMA MG2955 PIXMA MG3050 PIXMA MG3051 PIXMA MG3052 PIXMA MG3053 PIXMA MX495 PIXMA TR4550 PIXMA TR4551 PIXMA TS205 PIXMA TS305 PIXMA TS3150 PIXMA TS3151,"Quartz Watch - Diameter 40 mmA luxury 40.5mm quartz watch with alarm inspired by the high-pressure world of professional watersports. The steel turning bezel is marked with oversized Arabic numerals and only turns in one direction – essential for avoiding divingaccidents.CaseSize 40 mmWater-resistance 300 mCase Steel Fine-Brushed/PolishedBezel Turning Bezel SteelCrown Screw-down SteelCaseback Plain - SteelBandMaterial SteelFinishing Fine-Brushed/PolishedBuckle Folding Clasp Push-Buttons - Fine Brushed SteelDialFinishing Sunray BrushedColor BlackIndex AppliedMovementCaliber QuartzMovement Quartz WatchFunctions Hours, Minutes, Seconds, Date","[LEFT] [TITLE] Boje Canon PG-545 BK 8ml [BRAND] Canon [DESCRIPTION] Ngjyra e zeze Kapaciteti: 8ml Numri faqeve: afersisht 180 faqePerputhshmeria : PIXMA iP2850 PIXMA iP2855 PIXMA MG2450 PIXMA MG2455 PIXMA MG2550 PIXMA MG2550 S PIXMA MG2555 PIXMA MG2555 S PIXMA MG2950 PIXMA MG2950 S PIXMA MG2955 PIXMA MG3050 PIXMA MG3051 PIXMA MG3052 PIXMA MG3053 PIXMA MX495 PIXMA TR4550 PIXMA TR4551 PIXMA TS205 PIXMA TS305 PIXMA TS3150 PIXMA TS3151 [PRICE] 2300 [PRICE_CURRENCY] ALL
[RIGHT] [TITLE] TAG HEUER AQUARACER WAY111Z.BA0928 [DESCRIPTION] Quartz Watch - Diameter 40 mmA luxury 40.5mm quartz watch with alarm inspired by the high-pressure world of professional watersports. The steel turning bezel is marked with oversized Arabic numerals and only turns in one direction – essential for avoiding divingaccidents.CaseSize 40 mmWater-resistance 300 mCase Steel Fine-Brushed/PolishedBezel Turning Bezel SteelCrown Screw-down SteelCaseback Plain - SteelBandMaterial SteelFinishing Fine-Brushed/PolishedBuckle Folding Clasp Push-Buttons - Fine Brushed SteelDialFinishing Sunray BrushedColor BlackIndex AppliedMovementCaliber QuartzMovement Quartz WatchFunctions Hours, Minutes, Seconds, Date [PRICE] 1750.0 [PRICE_CURRENCY] USD"
train,negative,47389275#562267,0,10.769230769230774,47389275,562267,SANDISK FLASH CRUZER GLIDE 64GB,"3M - Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5)",,,"178,01zł",3266.25,,"3M Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5) (98-0440-4913-2) - Type: Skjermbeskyttelse","[LEFT] [TITLE] SANDISK FLASH CRUZER GLIDE 64GB [PRICE] 178,01zł [PRICE_CURRENCY] PLN
[RIGHT] [TITLE] 3M - Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5) [DESCRIPTION] 3M Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5) (98-0440-4913-2) - Type: Skjermbeskyttelse [PRICE] 3266.25 [PRICE_CURRENCY] NOK"
train,negative,13220357#57728272,0,10.810810810810807,13220357,57728272,DS-7616NI-K2/16P 4K NVR,"Western Digital Ssd Blue 1Tb 2,5 Sata3 560/530 Mb/S",,,378.004,122.70,"• Up to 8 Megapixels resolution recording• Support 1-ch HDMI, 1-ch VGA, HMDI at up to 4K(3840x2160)resolution• 8/16-ch network cameras can be connected with80M/160M incoming bandwidth• Up to 2 SATA interfaces• Plug & Play with up to 16 independent PoE network• dual-os to ensure high reliablility of system•Support various VCA detection alarm and VCA search•Support H.265/H.264/MPEG4 video formats",,"[LEFT] [TITLE] DS-7616NI-K2/16P 4K NVR [DESCRIPTION] • Up to 8 Megapixels resolution recording• Support 1-ch HDMI, 1-ch VGA, HMDI at up to 4K(3840x2160)resolution• 8/16-ch network cameras can be connected with80M/160M incoming bandwidth• Up to 2 SATA interfaces• Plug & Play with up to 16 independent PoE network• dual-os to ensure high reliablility of system•Support various VCA detection alarm and VCA search•Support H.265/H.264/MPEG4 video formats [PRICE] 378.004 [PRICE_CURRENCY] EUR
[RIGHT] [TITLE] Western Digital Ssd Blue 1Tb 2,5 Sata3 560/530 Mb/S [PRICE] 122.70"
