variant_id,experiment_name,iteration,split,decision_type,threshold,constraint_mode,score_threshold,hard_negative_weight,accuracy,balanced_accuracy,precision,recall,f1,tp,fp,tn,fn,positive_rate_pred,auroc,auprc,average_precision,brier_score,log_loss
pairwise_50_medium_unseen100,symbolic_hn_strong,0,train,neural_only,0.66,strong_only,0.66,3.0,0.8185,0.7607777777777778,0.6347540983606558,0.6453333333333333,0.64,968,557,3943,532,0.25416666666666665,0.8851822222222223,0.6911534618821266,0.6911534618821266,0.14112400162169492,0.43375484564020356
pairwise_50_medium_unseen100,symbolic_hn_strong,0,train,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8263333333333334,0.734,0.692436974789916,0.5493333333333333,0.6126394052044609,824,366,4134,676,0.19833333333333333,0.8851822222222223,0.6911534618821266,0.6911534618821266,0.14112400162169492,0.43375484564020356
pairwise_50_medium_unseen100,symbolic_hn_strong,0,valid,neural_only,0.66,strong_only,0.66,3.0,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,356,389,2611,144,0.21285714285714286,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.1483837241122102,0.4701236390528878
pairwise_50_medium_unseen100,symbolic_hn_strong,0,valid,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8765714285714286,0.7663333333333333,0.5625,0.612,0.5862068965517241,306,238,2762,194,0.15542857142857142,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.1483837241122102,0.4701236390528878
pairwise_50_medium_unseen100,symbolic_hn_strong,0,test,neural_only,0.66,strong_only,0.66,3.0,0.7904444444444444,0.731625,0.2984531392174704,0.656,0.41025641025641024,328,771,3229,172,0.24422222222222223,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003
pairwise_50_medium_unseen100,symbolic_hn_strong,0,test,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.85,0.7213750000000001,0.3803009575923393,0.556,0.4516653127538586,278,453,3547,222,0.16244444444444445,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003
pairwise_50_medium_unseen100,symbolic_hn_strong,1,train,neural_only,0.66,strong_only,0.66,3.0,0.7543333333333333,0.5102222222222222,0.825,0.022,0.04285714285714286,33,7,4493,1467,0.006666666666666667,0.8344423703703702,0.5927808863918453,0.5927808863918453,0.14423106896942264,0.44142599999269777
pairwise_50_medium_unseen100,symbolic_hn_strong,1,train,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.754,0.5093333333333333,0.8333333333333334,0.02,0.0390625,30,6,4494,1470,0.006,0.8344423703703702,0.5927808863918453,0.5927808863918453,0.14423106896942264,0.44142599999269777
pairwise_50_medium_unseen100,symbolic_hn_strong,1,valid,neural_only,0.66,strong_only,0.66,3.0,0.8571428571428571,0.5175,0.5,0.042,0.07749077490774908,21,21,2979,479,0.012,0.8367493333333335,0.40687877765641084,0.40687877765641084,0.10526875913582713,0.36533630482456564
pairwise_50_medium_unseen100,symbolic_hn_strong,1,valid,hard_governed_invalid_blocks,0.66,strong_only,0.66,3.0,0.8605714285714285,0.5195,0.7,0.042,0.07924528301886792,21,9,2991,479,0.008571428571428572,0.8367493333333335,0.40687877765641084,0.40687877765641084,0.10526875913582713,0.36533630482456564
