iteration,pair_id,label,previous_neural_score,violated_constraints,left_title,right_title,left_brand,right_brand,left_price,right_price
1,34072942#65129957,0,0.9646451329169565,"[""quantity_conflict""]",LaCie Rugged Thunderbolt USB-C 4TB,LaCie Rugged Thunderbolt USB-C 2TB,,,,
1,13006509#41819029,0,0.9558459272291218,"[""model_token_conflict""]",TP-Link TL-SG1024 24-Port Gigabit 19' Rackmountable Unmanaged Switch energy-efficient Supports MAC Plug & play 48Gbps Switching Capacity,TP-Link TL-SG1008 8-Port Unmanaged Gigabit Rackmount Switch,,TP-Link,169.00,33.31
1,66625804#29923231,0,0.9504694235563662,"[""model_token_conflict""]",Samsung T7 Touch Black 1TB Portable SSD with Fingerprint ID,Samsung T7 Touch Silver 1TB Portable SSD with Fingerprint ID,Samsung,Samsung,217.10,212.51
1,8921864#40158082,0,0.9380560219195152,"[""model_token_conflict""]",ASUS ROG STRIX B550-F GAMING,ASUS ROG STRIX B550-E GAMING,,ASUS,959,257.99
1,12706433#74938837,0,0.9324471470936524,"[""model_token_conflict""]",Super Ubiquinol CoQ10 with Enhanced Mitochondrial Support 100 mg (60 Softgels),Super Ubiquinol CoQ10 with Enhanced Mitochondrial Support™,,,4.96E1,13.50
1,21424803#91729567,0,0.9306781310634262,"[""model_token_conflict""]","D'Addario D'Addario EXL165 Nickel Wound Bass Guitar Strings, Custom Light, 45-105, Long Scale",D'Addario XL Nickel Wound Bass Strings EXL160,D'Addario,,24.99,29.99
1,94562624#20910428,0,0.9305467356752628,"[""model_token_conflict""]","Butuc pedalier Shimano Deore XT BB-MT800-PA, Press Fit",Butuc pedalier Shimano Deore XT BB-MT800,,,100.00,100.00
1,91325949#80394711,0,0.9233757587083815,"[""model_token_conflict""]",CORSAIR DDR4 2666MHz 32GB Kit 4x288 DIMM Unbuffered 16-18-18-35 Vengeance LPX Black Heat spreader 1.20V,"Corsair Vengeance 16GB RAM 2 X 8GB, DDR4, 3200MHz 16GB 2 x 288 DIMM, Unbuffered, 16-18-18-36, LPX Black Heat spreader, 1.35V",Corsair,,135.62,1.4899E2
1,41256110#80922548,0,0.9212150021619225,"[""quantity_conflict""]",LaCie 5TB HDD External Mobile Drive - Moon Silver,LaCie 2TB HDD External Mobile Drive - Moon Silver,,,159.99,99.99
1,53025257#84429009,0,0.9087509634597407,"[""model_token_conflict""]",Ubiquiti UVC-G3-Bullet UniFi IP Bullet Camera,"UBIQUITI - UVC G3 Bullet Camera, 3-pack",,,$‎197.95,4715.00
1,25440891#29169075,0,0.9086042656175127,"[""model_token_conflict"", ""variant_modifier_conflict""]",Cooler Master MasterLiquid ML120R RGB All In One Liquid Cooler,Cooler Master MasterLiquid Lite ML120L RGB V2,Cooler Master,,99.98,289
1,27988700#86036015,0,0.9028225182106575,"[""model_token_conflict""]",DDR4 8GB / 3000 Corsair Vengeance LPX,Corsair Vengeance LPX 8GB Black [1x8GB 2666MHz DDR4 CL16 1.2V XMP 2.0 DIMM],,,34.36,1.699E2
1,80250895#33133828,0,0.8981402824814204,"[""model_token_conflict""]","RAM Long Double Socket Arm for 1\"" Ball Bases - Overall Length: 6\""","RAM Short Double Socket Arm for 1\"" Ball Bases - Overall Length: 2.38\""",,,3.595E1,2.395E1
1,41987114#8499589,0,0.8931926650809191,"[""model_token_conflict""]",Daniel Wellington Mens Classic Sheffield 40mm Rose Gold Black DW00100007,Daniel Wellington Sheffield Classic DW00100036,Daniel Wellington,,140.83,
1,5494884#74461011,0,0.890019254351822,"[""model_token_conflict""]",Corsair Crystal Series 680X RGB Tempered Glass ATX Mid-Tower Computer Case - White,Corsair Crystal Series 570X RGB ATX Mid-Tower Case Tempered Glass Black,Corsair,Corsair,269.99,293
1,7851552#47978923,0,0.8868757405626027,"[""model_token_conflict""]","Corsair case Crystal Series 460X RGBTempered Glass, Compact ATX Mid-Tower","Corsair case Crystal Series 570X RGBTempered Glass, Premium ATX Mid-Tower",,,166.9,203.7
1,25360513#8298432,0,0.8759594956266632,"[""model_token_conflict""]",Corsair ML140 Pro LED 140mm Premium Mag-Lev Fan Red,Corsair ML120 Pro LED 120mm Premium Mag-Lev Fan Red,Corsair,Corsair,39,39
1,77020269#8499589,0,0.8754044512117305,"[""model_token_conflict""]",Daniel Wellington Classic Sheffield Rose 40mm -rannekello DW00100007,Daniel Wellington Sheffield Classic DW00100036,,,189,
1,16874363#185063,0,0.8726694454499401,"[""model_token_conflict""]","65"" Class Q70T QLED 4K UHD HDR Smart TV (2020)","50"" Class Q60T QLED 4K UHD HDR Smart TV (2020)",,,-1.0,649.97
1,25440891#21796409,0,0.8693723267002512,"[""model_token_conflict""]",Cooler Master MasterLiquid ML120R RGB All In One Liquid Cooler,Cooler Master MasterLiquid ML360R RGB,Cooler Master,,99.98,244.95
