split,error_type,pair_id,label,neural_score,neural_pred,left_title,right_title,left_brand,right_brand,left_price,right_price,title_similarity
valid,false_positive,29521578#96929485,0,1.0,1,"APC SMART-UPS EXTERNAL BATTERY (RT SERIES), 192V (FOR SURT15KRMXLI & SURT20KRMXLI)",BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,,APC,4206.7,205000000,0.41666666666666663
valid,false_positive,78253269#96929485,0,1.0,1,Ladies Daniel Wellington Sheffield Rose 36mm Watch DW00100036,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,,APC,149.00,205000000,0.18181818181818188
valid,false_positive,96929485#90174187,0,1.0,1,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,APC Smart-UPS SRT 10000VA 230V,APC,,205000000,10630.6,0.4705882352941177
valid,false_positive,96929485#53472089,0,1.0,1,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,Mikrotik Cloud Core Router 1036-12G-4S-EM,APC,Mikrotik,205000000,80800,0.17721518987341767
test,false_positive,6175893#51848095,0,0.9965765133118839,1,Đồng hồ Tissot T006.207.11.038.00,Tissot T109.410.11.033.00,,,18140000,20390,0.689655172413793
test,false_positive,6175893#26986067,0,0.9944621164339682,1,Đồng hồ Tissot T006.207.11.038.00,Tissot Mens T-Sport V8 Swissmatic White Dial Bracelet Watch T106.407.11.031.01,,Tissot,18140000,351.00,0.4324324324324324
test,false_positive,56698149#45220776,0,0.9924204348548196,1,Epson Ultra Glossy Photo Paper,"EPSON S041944 ultra glossy photo paper 300g/m², 13x18cm/50vel",Epson,,2150,,0.4835164835164835
test,false_positive,66481726#35452020,0,0.992156025399696,1,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,44.99,44.99,0.8979591836734694
test,false_positive,6175893#55154351,0,0.9900528632829603,1,Đồng hồ Tissot T006.207.11.038.00,TISSOT EVERYTIME MEDIUM T109.410.11.033.00 (T109.410.11.033.00),,,18140000,260.00,0.35416666666666674
test,false_positive,6175893#64388647,0,0.9892335209744726,1,Đồng hồ Tissot T006.207.11.038.00,TISSOT T095.417.11.067.00 QUICKSTER,,,18140000,10530.00,0.411764705882353
test,false_positive,56159566#29009865,0,0.9889600346120624,1,Tissot Mens T-Race Cycling Dark Blue Watch T111.417.37.441.06,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,Tissot,,385.95,11820000,0.71875
test,false_positive,24931990#29009865,0,0.9880911398768218,1,Tissot T-Race Chronograph Cycling Chronograph,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,,,6.75E2,11820000,1.0
test,false_positive,4395083#68021989,0,0.9874603493453025,1,DJI Mavic 2 Enterprise Dual,DJI Mavic 2 Enterprise (Zoom) w/ Smart Controller and DJI Enterprise Shield Basic,,,999999,2.995E3,0.8979591836734694
test,false_positive,29009865#7185118,0,0.9867871546181628,1,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,Tissot T-Race Cycling T111.417.27.441.00,,,11820000,433.78,0.7102803738317758
test,false_positive,45858702#66481726,0,0.9865264145967125,1,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,39.99,44.99,0.9714285714285714
test,false_positive,77900148#32297124,0,0.9859881453922281,1,Dutch Doobadoo - Dutch Card Art - Apple,Dutch Doobadoo - Dutch Card Art - Sneeuwbol,,,4.75,4.75,0.8928571428571429
test,false_positive,6189668#76350435,0,0.9859838417494529,1,iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,109.99,59.99,0.9629629629629629
test,false_positive,30058882#4395083,0,0.9853527143881532,1,DJI Mavic 2 Enterprise Dual with Shield Protection or Smart Controller,DJI Mavic 2 Enterprise Dual,DJI,,3350.00,999999,1.0
train,false_positive,14128915#67646392,0,0.985225816071231,1,Shimano Dura-Ace CS-R9100 Cassette 11-speed,CS-R9100 CASSETTE 11-25 DURA-ACE 11-SPEED,,,22265,559.0,0.42857142857142855
train,false_positive,31276154#14128915,0,0.9852203686151996,1,Shimano Shimano Cs-R9100 Cassette 11-25 Dura-Ace 11-Speed,Shimano Dura-Ace CS-R9100 Cassette 11-speed,Shimano,,339.99,22265,0.8913043478260869
test,false_positive,35452020#75325202,0,0.984643273521233,1,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone SE Screen - Fix Kit / Black / 全新 / Fix Kit / White / 全新 / Part Only / Black / 全新 / Part Only / White / 全新,,,44.99,44.99,0.8602150537634408
test,false_positive,6189668#45858702,0,0.9844342807519773,1,iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,,,109.99,39.99,0.9629629629629629
test,false_positive,74588061#6175893,0,0.9836606646198562,1,Tissot T048.417.27.057.00,Đồng hồ Tissot T006.207.11.038.00,,,15910.00,18140000,0.5862068965517241
test,false_positive,66481726#76350435,0,0.9836351108929061,1,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,59.99,0.9714285714285714
test,false_positive,68464601#1547160,0,0.9832624512920773,1,Garmin STRIKER Plus 7sv with Transducer,Garmin Striker Plus 5cv Fishfinder with GT-20TM Transducer,,,499.99,399,0.8181818181818181
test,false_positive,90494765#29009865,0,0.9832386010143552,1,Tissot T111.417.37.441.04 T-Race Cycling (Choose free two-day shipping at checkout),Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,,,4.95E2,11820000,0.5866666666666667
valid,false_positive,83455425#35724064,0,0.9823898160223036,1,Ubiquiti UVC-G3-FLEX UniFi Video Flex Manually Adjustable 1080p PoE Indoor/Outdoor IP Camera (3 Pack),Ubiquiti UVC-G3-FLEX UniFI IP Dome Camera,UBIQUITI,,195.91,$‎147.95,0.8450704225352113
test,false_positive,25351062#66481726,0,0.982260337238618,1,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,39.99,44.99,0.9714285714285714
test,false_positive,37696616#18510686,0,0.9821737200727998,1,Epson Premium Glossy Photo Paper - A4 - 20 Sheets,Epson A4 Glossy Photo Paper 20 Sheets,,,19.80,9.96,1.0
valid,false_positive,61976083#45988376,0,0.9818504001530656,1,Brother HL-L6200DW Wireless High Speed Mono Laser Printer - Duplex Printer,BROTHER MFC-L2710DW COMPACT LASER ALL-IN-ONE WITH DUPLEX PRINTING WITH WIRELESS NETWORKING - COPIER/FAX/PRINTER/SCANNER - 32 PPM MONO PRINT - 2400 X 600 DPI PRINT - AUTOMATIC DUPLEX PRINT - 1200 DPI OPTICAL SCAN - 250 SHEETS INPUT - ETHERNET - WIRELE,,,529.00,$249.99,0.18248175182481746
test,false_positive,24457389#52120879,0,0.981751817728926,1,Sharp Toner Cyan 15k - MX-2640,Sharp Toner Cyan 15k - MX2300/2700,Sharp,Sharp,1295,1395,0.8461538461538461
valid,false_positive,63386383#88950114,0,0.9809379599895609,1,Fujifilm XF-56mm f1.2 APD,Fujifilm XF-56mm f1.2 R,,Fujifilm,999.00,879.49,0.9545454545454546
test,false_positive,6189668#25351062,0,0.9801530338639133,1,iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,109.99,39.99,0.9629629629629629
test,false_positive,56698149#18510686,0,0.9792200756464786,1,Epson Ultra Glossy Photo Paper,Epson A4 Glossy Photo Paper 20 Sheets,Epson,,2150,9.96,0.8888888888888888
test,false_positive,63634340#30137322,0,0.9792043004740479,1,"Zebra Black Monochrome Ribbon - K - 1,000 prints","Zebra Gold Monochrome Ribbon - 1,000 prints",zebra,zebra,,,0.9382716049382717
test,false_positive,28797890#28797891,0,0.9791306324748913,1,Shimano BR-M8120 XT 4-Piston Disc Brakes - Rear Brake (1700mm),Shimano BR-M8120 XT 4-Piston Disc Brakes - Front Brake (1000mm),Shimano,Shimano,209.99,209.99,0.9279999999999999
test,false_positive,88943801#66481726,0,0.9788678271919141,1,iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,59.99,44.99,0.9714285714285714
