field,group,mean_attention,std_attention
brand,all,0.022611113265156746,0.06877990067005157
description,all,0.03732273355126381,0.040175553411245346
identifier,all,0.2714043855667114,0.13051237165927887
price,all,0.01914379745721817,0.0202435702085495
quantity,all,0.02291472628712654,0.06921839714050293
title,all,0.6266033053398132,0.14386522769927979
brand,TP,0.02577628381550312,0.07128792256116867
description,TP,0.03022349439561367,0.03557746484875679
identifier,TP,0.4133567810058594,0.1966194361448288
price,TP,0.015111359767615795,0.012983781285583973
quantity,TP,0.007840076461434364,0.01150476187467575
title,TP,0.5076920390129089,0.1963842511177063
brand,FP,0.023855147883296013,0.07931432127952576
description,FP,0.02911834791302681,0.031717944890260696
identifier,FP,0.29985979199409485,0.16692323982715607
price,FP,0.01804322749376297,0.012513887137174606
quantity,FP,0.012301086448132992,0.02361578308045864
title,FP,0.6168224811553955,0.17401772737503052
brand,TN,0.02126775123178959,0.06486216932535172
description,TN,0.03843558952212334,0.040830619633197784
identifier,TN,0.2547731399536133,0.10839565843343735
price,TN,0.019541060552001,0.021421460434794426
quantity,TN,0.025873422622680664,0.07618291676044464
title,TN,0.6401090025901794,0.12894484400749207
brand,FN,0.038911912590265274,0.09790734946727753
description,FN,0.047638267278671265,0.04762163758277893
identifier,FN,0.28433874249458313,0.12242699414491653
price,FN,0.020815180614590645,0.021548813208937645
quantity,FN,0.0180618017911911,0.05461057648062706
title,FN,0.590234100818634,0.13060930371284485
