variant_id,run_name,split,config_id,method,neurosymbolic_enabled,decision_mode,symbolic_profile,threshold,tau_high,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,positives_pred,positive_rate_true,positive_rate_pred,auroc,auprc,average_precision,brier_score,log_loss,accepted_count,rejected_count,accept_rate,reject_rate,symbolic_valid_count,symbolic_invalid_count,symbolic_uncertain_count,invalid_block_count,invalid_block_positive_labels,invalid_block_negative_labels,delta_precision,delta_recall,delta_f1,delta_fp,delta_fn,fp_reduction,fp_reduction_rate,recall_loss,recall_loss_rate
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.50,neural_only,False,neural_threshold,none,0.5,,0.7782857142857142,0.8089999999999999,0.3776595744680851,0.852,0.5233415233415234,0.766,0.234,0.148,426,702,2298,74,3500,500,1128,0.14285714285714285,0.3222857142857143,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,1128,2372,0.3222857142857143,0.6777142857142857,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.50,neural_only,False,neural_threshold,none,0.5,,0.718,0.762625,0.2580239144115796,0.82,0.39253231211105793,0.70525,0.29475,0.18,410,1179,2821,90,4500,500,1589,0.1111111111111111,0.3531111111111111,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,1589,2911,0.3531111111111111,0.6468888888888888,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.60,neural_only,False,neural_threshold,none,0.6,,0.8242857142857143,0.8033333333333333,0.43532058492688414,0.774,0.5572354211663066,0.8326666666666667,0.16733333333333333,0.226,387,502,2498,113,3500,500,889,0.14285714285714285,0.254,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,889,2611,0.254,0.746,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.60,neural_only,False,neural_threshold,none,0.6,,0.7653333333333333,0.75075,0.2841614906832298,0.732,0.40939597315436244,0.7695,0.2305,0.268,366,922,3078,134,4500,500,1288,0.1111111111111111,0.2862222222222222,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,1288,3212,0.2862222222222222,0.7137777777777777,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.66,neural_only,False,neural_threshold,none,0.66,,0.8477142857142858,0.7911666666666666,0.4778523489932886,0.712,0.5718875502008032,0.8703333333333333,0.12966666666666668,0.288,356,389,2611,144,3500,500,745,0.14285714285714285,0.21285714285714286,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,745,2755,0.21285714285714286,0.7871428571428571,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.66,neural_only,False,neural_threshold,none,0.66,,0.7904444444444444,0.731625,0.2984531392174704,0.656,0.41025641025641024,0.80725,0.19275,0.344,328,771,3229,172,4500,500,1099,0.1111111111111111,0.24422222222222223,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,1099,3401,0.24422222222222223,0.7557777777777778,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.70,neural_only,False,neural_threshold,none,0.7,,0.8528571428571429,0.7583333333333333,0.48829953198127923,0.626,0.5486415425065732,0.8906666666666667,0.10933333333333334,0.374,313,328,2672,187,3500,500,641,0.14285714285714285,0.18314285714285714,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,641,2859,0.18314285714285714,0.8168571428571428,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.70,neural_only,False,neural_threshold,none,0.7,,0.8104444444444444,0.721,0.3159541188738269,0.606,0.4153529814941741,0.836,0.164,0.394,303,656,3344,197,4500,500,959,0.1111111111111111,0.2131111111111111,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,959,3541,0.2131111111111111,0.7868888888888889,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.80,neural_only,False,neural_threshold,none,0.8,,0.8688571428571429,0.7001666666666667,0.5484633569739953,0.464,0.5027085590465872,0.9363333333333334,0.06366666666666666,0.536,232,191,2809,268,3500,500,423,0.14285714285714285,0.12085714285714286,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,423,3077,0.12085714285714286,0.8791428571428571,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.80,neural_only,False,neural_threshold,none,0.8,,0.8442222222222222,0.670875,0.34514637904468415,0.448,0.38990426457789384,0.89375,0.10625,0.552,224,425,3575,276,4500,500,649,0.1111111111111111,0.14422222222222222,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,649,3851,0.14422222222222222,0.8557777777777777,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,valid,neural_only|thr=0.90,neural_only,False,neural_threshold,none,0.9,,0.8731428571428571,0.6185,0.6359223300970874,0.262,0.37110481586402266,0.975,0.025,0.738,131,75,2925,369,3500,500,206,0.14285714285714285,0.05885714285714286,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,206,3294,0.05885714285714286,0.9411428571428572,,,,,,,,,,,,,,,
pairwise_50_medium_unseen100,neural_logreg,test,neural_only|thr=0.90,neural_only,False,neural_threshold,none,0.9,,0.868,0.588,0.35403726708074534,0.228,0.2773722627737226,0.948,0.052,0.772,114,208,3792,386,4500,500,322,0.1111111111111111,0.07155555555555555,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,322,4178,0.07155555555555555,0.9284444444444444,,,,,,,,,,,,,,,
