split,rank,config_id,method,symbolic_profile,threshold,tau_high,precision,recall,f1,fp,fn,fp_reduction_rate,recall_loss_rate,governance_score
valid,1,invalid_blocks|profile=conservative|thr=0.66,neuro_symbolic_invalid_blocks,conservative,0.66,,0.5625,0.612,0.5862068965517241,238,194,0.3881748071979434,0.1404494382022471,0.6481382388006481
valid,2,strict_two_threshold|profile=conservative|thr=0.50|tau_high=0.80,neuro_symbolic_strict_two_threshold,conservative,0.5,0.8,0.5056,0.632,0.5617777777777778,309,184,0.5598290598290598,0.2582159624413145,0.6371810521247142
valid,3,strict_two_threshold|profile=conservative|thr=0.60|tau_high=0.80,neuro_symbolic_strict_two_threshold,conservative,0.6,0.8,0.5478424015009381,0.584,0.5653436592449177,241,208,0.5199203187250996,0.2454780361757106,0.6339542298822649
valid,4,invalid_blocks|profile=conservative|thr=0.60,neuro_symbolic_invalid_blocks,conservative,0.6,,0.513302034428795,0.656,0.5759438103599649,311,172,0.3804780876494024,0.152454780361757,0.6329496371818762
valid,5,strict_two_threshold|profile=conservative|thr=0.66|tau_high=0.80,neuro_symbolic_strict_two_threshold,conservative,0.66,0.8,0.5782881002087683,0.554,0.5658835546475995,202,223,0.480719794344473,0.2219101123595504,0.6305859751438302
valid,6,strict_two_threshold|profile=conservative|thr=0.50|tau_high=0.90,neuro_symbolic_strict_two_threshold,conservative,0.5,0.9,0.5146804835924007,0.596,0.5523632993512512,281,202,0.5997150997150997,0.3004694835680751,0.6271747033880073
valid,7,strict_two_threshold|profile=conservative|thr=0.60|tau_high=0.90,neuro_symbolic_strict_two_threshold,conservative,0.6,0.9,0.5626283367556468,0.548,0.5552178318135765,213,226,0.5756972111553785,0.2919896640826873,0.6261447185817494
valid,8,strict_two_threshold|profile=conservative|thr=0.66|tau_high=0.90,neuro_symbolic_strict_two_threshold,conservative,0.66,0.9,0.5981524249422633,0.518,0.5551982851018221,174,241,0.5526992287917738,0.2724719101123595,0.6252551147716757
valid,9,invalid_blocks|profile=conservative|thr=0.70,neuro_symbolic_invalid_blocks,conservative,0.7,,0.5747368421052632,0.546,0.56,202,227,0.3841463414634146,0.1277955271565494,0.6240877035767164
valid,10,invalid_blocks|profile=conservative|thr=0.50,neuro_symbolic_invalid_blocks,conservative,0.5,,0.4583866837387964,0.716,0.5589383294301327,423,142,0.3974358974358974,0.1596244131455399,0.618391200502722
valid,11,strict_two_threshold|profile=conservative|thr=0.50|tau_high=0.95,neuro_symbolic_strict_two_threshold,conservative,0.5,0.95,0.5180505415162455,0.574,0.5445920303605313,267,213,0.6196581196581197,0.3262910798122066,0.6179337903220096
valid,12,strict_two_threshold|profile=conservative|thr=0.66|tau_high=0.95,neuro_symbolic_strict_two_threshold,conservative,0.66,0.95,0.6078431372549019,0.496,0.5462555066079295,160,252,0.5886889460154242,0.3033707865168539,0.6175850464825721
valid,13,strict_two_threshold|profile=conservative|thr=0.60|tau_high=0.95,neuro_symbolic_strict_two_threshold,conservative,0.6,0.95,0.5692640692640693,0.526,0.5467775467775468,199,237,0.603585657370518,0.3204134366925064,0.6175706019470496
valid,14,strict_two_threshold|profile=conservative|thr=0.70|tau_high=0.80,neuro_symbolic_strict_two_threshold,conservative,0.7,0.8,0.5870069605568445,0.506,0.5435016111707841,178,247,0.4573170731707317,0.1916932907348242,0.609907556779761
valid,15,strict_two_threshold|profile=conservative|thr=0.50|tau_high=0.97,neuro_symbolic_strict_two_threshold,conservative,0.5,0.97,0.5147058823529411,0.56,0.5363984674329502,264,220,0.6239316239316239,0.3427230046948356,0.6067006222421473
