split,constraint_i,constraint_j,overlap_count,overlap_fp,overlap_tp
valid,accessory_main_product_conflict,accessory_main_product_conflict,8,4,4
valid,accessory_main_product_conflict,brand_conflict,0,0,0
valid,accessory_main_product_conflict,model_token_conflict,2,2,0
valid,accessory_main_product_conflict,quantity_conflict,0,0,0
valid,accessory_main_product_conflict,variant_modifier_conflict,1,1,0
valid,brand_conflict,accessory_main_product_conflict,0,0,0
valid,brand_conflict,brand_conflict,12,6,6
valid,brand_conflict,model_token_conflict,2,1,1
valid,brand_conflict,quantity_conflict,0,0,0
valid,brand_conflict,variant_modifier_conflict,1,0,1
valid,model_token_conflict,accessory_main_product_conflict,2,2,0
valid,model_token_conflict,brand_conflict,2,1,1
valid,model_token_conflict,model_token_conflict,151,124,27
valid,model_token_conflict,quantity_conflict,3,3,0
valid,model_token_conflict,variant_modifier_conflict,13,10,3
valid,quantity_conflict,accessory_main_product_conflict,0,0,0
valid,quantity_conflict,brand_conflict,0,0,0
valid,quantity_conflict,model_token_conflict,3,3,0
valid,quantity_conflict,quantity_conflict,13,10,3
valid,quantity_conflict,variant_modifier_conflict,0,0,0
valid,variant_modifier_conflict,accessory_main_product_conflict,1,1,0
valid,variant_modifier_conflict,brand_conflict,1,0,1
valid,variant_modifier_conflict,model_token_conflict,13,10,3
valid,variant_modifier_conflict,quantity_conflict,0,0,0
valid,variant_modifier_conflict,variant_modifier_conflict,37,23,14
test,accessory_main_product_conflict,accessory_main_product_conflict,12,10,2
test,accessory_main_product_conflict,brand_conflict,0,0,0
test,accessory_main_product_conflict,model_token_conflict,5,5,0
test,accessory_main_product_conflict,quantity_conflict,0,0,0
test,accessory_main_product_conflict,variant_modifier_conflict,0,0,0
test,brand_conflict,accessory_main_product_conflict,0,0,0
test,brand_conflict,brand_conflict,12,10,2
test,brand_conflict,model_token_conflict,2,2,0
test,brand_conflict,quantity_conflict,0,0,0
test,brand_conflict,variant_modifier_conflict,0,0,0
test,model_token_conflict,accessory_main_product_conflict,5,5,0
test,model_token_conflict,brand_conflict,2,2,0
test,model_token_conflict,model_token_conflict,280,244,36
test,model_token_conflict,quantity_conflict,7,7,0
test,model_token_conflict,variant_modifier_conflict,6,4,2
test,quantity_conflict,accessory_main_product_conflict,0,0,0
test,quantity_conflict,brand_conflict,0,0,0
test,quantity_conflict,model_token_conflict,7,7,0
test,quantity_conflict,quantity_conflict,51,47,4
test,quantity_conflict,variant_modifier_conflict,1,1,0
test,variant_modifier_conflict,accessory_main_product_conflict,0,0,0
test,variant_modifier_conflict,brand_conflict,0,0,0
test,variant_modifier_conflict,model_token_conflict,6,4,2
test,variant_modifier_conflict,quantity_conflict,1,1,0
test,variant_modifier_conflict,variant_modifier_conflict,34,26,8
