split,example_group,constraint,pair_id,label,neural_score,neural_pred,symbolic_status,violated_constraints,positive_evidence,uncertain_reasons,governed_pred,left_title,right_title,left_brand,right_brand,left_price,right_price,left_description,right_description
valid,helpful_blocked_fp,brand_conflict,96929485#53472089,0,1.0,1,invalid,"[""brand_conflict""]",[],"[""model_tokens_no_overlap"", ""multiple_quantities_ambiguous"", ""bundle_or_kit_mismatch"", ""currency_missing_or_mismatch""]",0,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,Mikrotik Cloud Core Router 1036-12G-4S-EM,APC,Mikrotik,205000000,80800,"Thông số kỹ thuậtĐánh giáOutput power capacity:16.0 KWatts / 20.0 kVAMax Configurable Power (Watts):16.0 KWatts / 20.0 kVANominal Output Voltage:230VOutput Voltage Note:Configurable for 400 or 415V 3 Phase nominal output voltageOutput Voltage Distortion:Less than 5%Output Frequency (sync to mains):50/60 Hz +/- 3 Hz user adjustable +/- 0.1Other Output Voltages:220, 240Load Crest Factor:3 : 1Topology:Double Conversion OnlineWaveform type:Sine waveOverload Operation:60 seconds @ 125% and 30 seconds @ 150%Output Connections(2) IEC Jumpers (Battery Backup)(8) IEC 320 C19 (Battery Backup)(1) Hard Wire 3-wire (H N + G) (Battery Backup)Bypass:Built-in Static Bypass, Internal Bypass (Automatic and Manual), Optional External BypassInputNominal Input Voltage:230V , 400V 3PHInput frequency:40 - 70 Hz (auto sensing)Input Connections:Hard Wire 3 wire (1PH+N+G), Hard Wire 5-wire (3PH + N + G)Input voltage range for main operations:160 - 280VInput Total Harmonic Distortion:Less than 5% for full loadOther Input Voltages:220, 240Maximum Input Current:115.0AInput Power Factor at Full Load:0.98Batteries & RuntimeBattery type:Maintenance-free sealed Lead-Acid battery with suspended electrolyte : leakproofIncluded Battery Modules:4Typical recharge time:2.5hour(s)Nominal Battery Voltage:+/-192 V (split battery referenced to neutral)Replacement Battery:APCRBC140Expected Battery Life (years):3 - 5RBC Quantity:4Extendable Run Time:1Extended Run Options:APC-Smart-UPS-RT-20kVA-RM-230VEnd of Discharge Battery Voltage:+/-154 VEfficiency in Battery Operation93.0 %Runtime:View Runtime Graph:View Runtime ChartEfficiency:View Efficiency GraphCommunications & ManagementInterface Port(s):DB-9 RS-232 , RJ-45 10/100 Base-T , Smart-SlotPre-Installed SmartSlot™ Cards:AP9631Control panel:Multi-function LCD status and control consoleAudible Alarm:Audible and visible alarms : configurable delaysEmergency Power Off (EPO):YesSurge Protection and FilteringFiltering:Full time multi-pole noise filtering : 0.3% IEEE surge let-through : zero clamping response time : meets UL 1449PhysicalMaximum Height:533mm , 53.3CMMaximum Width:432mm , 43.2CMMaximum Depth:773mm , 77.3CMRack Height:12UNet Weight:247.73KGShipping weight:314.09KGShipping Height:990mm , 99.0CMShipping Width:610mm , 61.0CMShipping Depth:1003mm , 100.3CMColor:BlackUnits per Pallet:1.0EnvironmentalOperating Temperature:0 - 40 °COperating Relative Humidity:0 - 95% non-condensing %Operating Elevation:0-3000metersStorage Temperature:-15 - 45 °CStorage Relative Humidity:0 - 95% non-condensing %Storage Elevation:0-15000metersAudible noise at 1 meter from surface of unit:59.0dBAOnline thermal dissipation:3770.0BTU/hrProtection Class:IP 20ConformanceApprovals:BSMI, EN/IEC 62040-2, EN/IEC 62040-1-1, VDEStandard warranty:2 years repair or replaceSustainable Ofer Status:RoHS:CompliantREACHREACH: Contains No SVHCsPEP:Available in Documentation tabEOLI:Available in Documentation tabBattery Directive:CompliantBattery Notes:ts_Battery_Notes","CCR1036-12G-4S-EM is an carrier grade router with a cutting edge 36 core Tilera CPU! Unprecedented power and unbeatable performance - this is our new flagship device. Over 20 times faster than our previous top model, the Cloud Core supports throughput of up to 24 million packets per second, or up to 16 gigabits - full wire speed.The device comes in a 1U rackmount case, has four SFP ports, twelve Gigabit ethernet ports, serial console and a USB port. A color touchscreen displays device status, traffic graphs, or provide access to simple configuration options.It has two SODIMM slots, by default it is shipped with 16GB of RAM, but has no memory limit in RouterOS. It comes with power supply and 1U rackmount case.Click here for Product Specification Sheet"
valid,helpful_blocked_fp,brand_conflict,12353703#98165579,0,0.8731484315727799,1,invalid,"[""brand_conflict"", ""model_token_conflict""]",[],"[""bundle_or_kit_mismatch"", ""currency_missing_or_mismatch""]",0,RAM Short Double Socket Arm C Size (RAM-201U-B),RAM Short Double Socket Arm B-201U,RAM,RAM Mounts,36.00,14.49,"RAM® Double Socket Arm - C SizeLow-profile design with an overall length of 3.56\"" and a socket-to-socket length of 2.5\""Attaches to any C size RAM® ball component, including mounting bases and device holders; double ball and socket technology allows for near-infinite adjustability of your RAM® mounting systemMade of powder-coated, marine-grade aluminum for durability and reliability in the most demanding environmentsBacked by a lifetime warrantyThe RAM-201U-B consists of a short double socket arm that accommodates 1.5\"" C size ball bases, device holders, and adapters. With an overall length 3.56\"", this is the shortest RAM® double socketarm size. The easy to adjust knob allows for near-infinite adjustability for your connected device.","The RAM-B-201U-A Aluminum version (not plastic), short double socket arm, has a socket at both ends that accommodates 1 ball bases. RAM socket technology allows"
valid,helpful_blocked_fp,brand_conflict,66348579#54277053,0,0.8378836930296643,1,invalid,"[""brand_conflict""]",[],"[""currency_missing_or_mismatch""]",0,"SRAM SRAM Disc Brake Pads - Organic Compound, Steel Backed, Quiet, For SRAM Hydraulic Road Disc, Level Ultimate/TLM (2017-2019)",SRAM HRD Level ULT/ULM Metal Brake Pads,SRAM,QBP,24.99,25.0,Original equipment pads for no-compromise disc brake performance.,Original equipment pads for no-compromise disc brake performance.--Original equipment pads for no-compromise disc brake performance.
valid,helpful_blocked_fp,brand_conflict,86650421#65931181,0,0.7490907733773349,1,invalid,"[""brand_conflict""]","[""category_keyword_overlap""]","[""multiple_quantities_ambiguous"", ""currency_missing_or_mismatch""]",0,Ubiquiti UniFi Video Camera G3 Bullet (3 Pack),UVC-G4-PRO Ubiquiti UniFi IP67 Bullet HD Video Camera,Ubiquiti Networks (UBNT),Ubiquiti,491.51,830,Ubiquiti UniFi Video Camera G3 Bullet (3 Pack),"Ubiquiti NetworksUniFi Video UVC-G4-PRO 4K IP67The UniFi® Protect Camera, model UVC-G4-PRO, represents the next generation of cameras designed for use with the UniFi Protect surveillance management system. This camera offers 4K Ultra HD resolution for day or night use and integrates with the UniFi Protect software for powerful and flexible IP video management.The UVC-G4-PRO is easy to set up, operate, and manage using the UniFi Protect software, which comes pre-installed the UCK-G2-PLUS, the latest generation Cloud Key controller."
valid,helpful_blocked_fp,brand_conflict,67358569#40125777,0,0.733924088814738,1,invalid,"[""brand_conflict""]",[],"[""multiple_quantities_ambiguous"", ""currency_missing_or_mismatch""]",0,Memoire SDXC KINGSTON 32GB Canvas Select microSDHC (microSD) + Adapter SD,Memoire Micro SDHC Kingston Technology Canvas Select,KINGSTON,Kingston Technology,9.99,27.99,Memoire SDXC KINGSTON 32GB Canvas Select microSDHC (microSD) + Adapter SD,Memoire Micro SDHC Kingston Technology Canvas Select- 128Go MicroSDXC UHS-I Classe 10 mémoire flash
valid,helpful_blocked_fp,brand_conflict,95592561#40125777,0,0.663939464483435,1,invalid,"[""brand_conflict""]",[],"[""multiple_quantities_ambiguous"", ""currency_missing_or_mismatch""]",0,Kingston Canvas Select Class 10 Micro SD Card - 32GB,Memoire Micro SDHC Kingston Technology Canvas Select,Kingston,Kingston Technology,19.99,27.99,"Full HD compliant Class 10 performance Micro SD Card. The 32GB Kingston Canvas Select SDHC card safely and effectively stores all of your precious data, images, video and more.",Memoire Micro SDHC Kingston Technology Canvas Select- 128Go MicroSDXC UHS-I Classe 10 mémoire flash
valid,harmful_blocked_tp,brand_conflict,84301060#87426005,1,0.9638807384557996,1,invalid,"[""brand_conflict""]","[""color_match""]","[""currency_missing_or_mismatch""]",0,Instax Square film Black Frame,Fujifilm Instax Square Film ( Black Frame 10's ),Fuji,FUJIFILM,฿370,55.0,,For FUJIFILM INSTAX SQUARE CamerasBlack Frame BordersColorful Star-Like Pattern2.4 x 2.4
valid,harmful_blocked_tp,brand_conflict,7781722#31143310,1,0.7431525209374686,1,invalid,"[""brand_conflict""]","[""model_token_overlap""]","[""bundle_or_kit_mismatch"", ""currency_missing_or_mismatch""]",0,RAM Mount Dual Suction Cup Base with with Universal AMPs Hole Pattern,RAM Twist-Lock Dual Suction Cup Base / RAM-B-189BU,RAM Mount,RAM Mounts,60.00,36.00,"RAM Mount Dual Suction Cup Base with with Universal AMPs Hole PatternThe RAM-B-189BU is a dual suction base that will allow you to mount a range of compatible RAM components (sold separately) onto a suction-compatible surface.What you get:1 x RAM Double Suction Cup Base with Universal AMPs Hole Pattern (RAM-B-189BU)Note: This listing does NOT include a RAM cradle or Double Clamp Arm, these items will need to be purchased separately.RAM Double Suction Cup Base with Universal AMPs Hole Pattern (RAM-B-189BU)The RAM-B-189BU consists of a double 3.3\"" twist lock suction cup base.Included is a hole pattern that will allow attachment to all RAM bases that contain the universal AMPs hole pattern.* Device shown for illustration purposes only and is not included in purchase.",RAM Twist-Lock Dual Suction Cup Base / RAM-B-189BU
valid,harmful_blocked_tp,brand_conflict,62825929#60735508,1,0.7227888597708656,1,invalid,"[""brand_conflict"", ""model_token_conflict"", ""variant_modifier_conflict""]",[],"[""currency_missing_or_mismatch""]",0,Blaze Grill Cart for Blaze 3 Burner Pro SKU BLZ-3PRO-CART,Blaze Professional Grill Cart for 34-Inch 3-Burner Gas Grill,Blaze,Blaze Outdoor Products,1099.99,1099.99,Blaze Cart for Blaze 3 Burner Pro grill SKU BLZ-3PRO-CARTBlaze 3 Burner Pro Cart Only SKU BLZ-3PRO-CART Features:Folding side shelves for easier storage / mobilityStainless steel construction is durable in outdoor conditionsTwo drawers add practical storage for your BBQ accessories2 folding side shelves provide a convenient work area while grillingStainless Steel exterior for easy cleaning4 heavy duty casters allow you to re-position the grill for maximum mobilityBlaze 3 Burner Pro Cart Only SKU BLZ-3PRO-CART Description:Blaze 3 Burner Pro Cart Only SKU BLZ-3PRO-CART. BLZ-3PRO-CART.This Blaze stainless steel grill cart is specifically designed to house the Blaze Professional 3 burner gas grill. The two stainless steel side shelves keep your BBQ tools at hand and provide a convenient work area while you cook. The Blaze grill cart also features one front door with a rounded handle to access the cabinet below the grill where you can store your propane tank. It also features two drawers with rounded handles to store your grill cover and BBQ accessories. The cart is warranted for lifetime to the original owner against defects in manufacturing and workmanship. This warranty extends to the original purchaser against manufacture defects for products purchased for ordinary single-family home use.,"This Blaze Professional stainless steel 3 burner grill cart is specifically designed to house the Blaze Professional 3 burner grill. The two fold down stainless steel side shelves keep your BBQ tools at hand and provide a convenient work area while you cook. The cart also features two storage drawers and one door below the grill for storing your propane tank, grill cover and BBQ accessories!DIMENSIONS: 34-3/4\"" H x 65-1/2\"" W x 26-3/4\"" D"
valid,harmful_blocked_tp,brand_conflict,10176070#55157414,1,0.7186984845855746,1,invalid,"[""brand_conflict""]","[""model_token_overlap"", ""category_keyword_overlap""]","[""bundle_or_kit_mismatch"", ""currency_missing_or_mismatch""]",0,Compatible Samsung© CLT-K406S [Black] Toner Cartridge,Samsung CLT-K406S Black Original Standard Yield Toner Cartridge,Samsung Color,Samsung,29.99,72.71,"Get your printing right the first time and every time. This eco-friendly cartridge is compatible with the Samsung CLT-K406S. You will get first-rate print quality with crisp vibrant output from the first page to thelast. We make all of our cartridges with the highest quality new and recycled components in ISO9001 / ISO14001 certified factories. They are easy to install, affordable and deliver sharp professional results every time you print.",
